race_id,boat_no,racer_id,name,class,motor_p,st_ave,fl
20260219_03_01,1,4933,板橋侑我,A1,32.04,0.13,0
20260219_03_01,2,3940,飯山泰,A1,34.3,0.15,0
20260219_03_01,3,4543,重木輝彦,A1,29.28,0.17,0
20260219_03_01,4,4824,松井洪弥,A1,37.14,0.12,0
20260219_03_01,5,4084,杉山正樹,A1,34.48,0.16,0
20260219_03_01,6,4468,大池佑来,A1,29.88,0.13,0
20260219_06_01,1,3718,伊達正利,B1,36.27,0.17,0
20260219_06_01,2,4268,和合俊介,B1,28.02,0.15,0
20260219_06_01,3,4943,八木治樹,B1,34.83,0.14,0
20260219_06_01,4,4105,松下直也,B1,31.86,0.17,0
20260219_06_01,5,3569,増田進,B1,26.35,0.18,0
20260219_06_01,6,5416,龍田真白,B2,37.02,0.19,0
20260219_10_01,1,5051,松本純平,A1,37.39,0.16,0
20260219_10_01,2,3544,豊田訓靖,B2,31.38,0.21,0
20260219_10_01,3,4114,深澤達徳,B1,34.93,0.21,0
20260219_10_01,4,4648,木村亮太,B1,37.5,0.15,1
20260219_10_01,5,5109,川崎智稔,B1,32.74,0.14,0
20260219_10_01,6,4692,酒井俊弘,B1,31.39,0.15,0
20260219_13_01,1,5210,藤井公人,B2,28.96,0.16,0
20260219_13_01,2,5137,川原涼,B1,26.11,0.17,0
20260219_13_01,3,5126,山下大輝,A1,21.31,0.15,0
20260219_13_01,4,5355,萩原丈太朗,B1,28.18,0.19,0
20260219_13_01,5,5377,鳥居塚嶺王,B1,33.71,0.15,1
20260219_13_01,6,5386,米玉利大悟,B1,32.24,0.17,1
20260219_16_01,1,4202,浮田圭浩,B1,50.0,0.18,0
20260219_16_01,2,4271,川崎公靖,B1,26.42,0.16,0
20260219_16_01,3,5069,山崎小葉音,B1,24.07,0.15,0
20260219_16_01,4,5323,香川陽太,B1,24.53,0.16,0
20260219_16_01,5,4552,杉山勝匡,B1,44.9,0.15,0
20260219_16_01,6,4565,西村豪洋,B1,18.6,0.18,0
20260219_18_01,1,4015,前野竜一,A2,34.34,0.16,0
20260219_18_01,2,3233,小畑実成,B1,30.48,0.17,0
20260219_18_01,3,3459,中野和裕,B1,34.13,0.17,1
20260219_18_01,4,4422,永井亮次,B1,30.46,0.17,0
20260219_18_01,5,3584,佐々木英樹,B1,36.26,0.17,0
20260219_18_01,6,4525,真子奈津実,B1,30.41,0.15,0
20260219_19_01,1,3726,桂林寛,B2,28.72,0.17,1
20260219_19_01,2,4158,木場雄二郎,B1,30.69,0.17,0
20260219_19_01,3,3896,上田洋平,B1,34.39,0.17,0
20260219_19_01,4,5070,中島航,B1,35.9,0.18,1
20260219_19_01,5,3654,武田光史,A1,36.45,0.15,0
20260219_19_01,6,4259,真庭明志,A2,32.49,0.15,0
